Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
05:35,06:45,06:45,06:45,07:00,08:00,08:00
07:00,09:30,09:30,09:30,09:30,09:25,09:25
09:30,11:30,11:30,11:30,11:30,10:25,10:25
11:30,13:30,13:30,13:30,13:30,11:25,11:25
13:30,15:30,15:30,15:30,14:30,12:20,12:20
17:30,17:30,17:30,16:30,15:30,13:20,13:20
19:30,19:30,19:30,17:30,16:30,14:20,14:20
21:15,,,19:30,17:30,15:15,15:15
,,,20:30,18:30,16:15,16:15
,,,22:15,19:30,17:15,17:15
,,,,20:30,18:15,18:15
,,,,22:15,19:15,19:15
,,,,,20:15,20:15
,,,,,22:00,22:00
